Position,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,Manchester City FC,2,2,0,0,6,1,5,6
2,Brighton & Hove Albion FC,2,2,0,0,5,1,4,6
3,Liverpool FC,2,2,0,0,4,0,4,6
4,Arsenal FC,2,2,0,0,4,0,4,6
5,Tottenham Hotspur FC,2,1,1,0,5,1,4,4
6,Newcastle United FC,2,1,1,0,2,1,1,4
7,Nottingham Forest FC,2,1,1,0,2,1,1,4
8,Chelsea FC,2,1,0,1,6,4,2,3
9,West Ham United FC,2,1,0,1,3,2,1,3
10,Manchester United FC,2,1,0,1,2,2,0,3
11,Fulham FC,2,1,0,1,2,2,0,3
12,Aston Villa FC,2,1,0,1,2,3,-1,3
13,Brentford FC,2,1,0,1,2,3,-1,3
14,AFC Bournemouth,2,0,2,0,2,2,0,2
15,Leicester City FC,2,0,1,1,2,3,-1,1
16,Southampton FC,2,0,0,2,0,2,-2,0
17,Crystal Palace FC,2,0,0,2,1,4,-3,0
18,Ipswich Town FC,2,0,0,2,1,6,-5,0
19,Wolverhampton Wanderers FC,2,0,0,2,2,8,-6,0
20,Everton FC,2,0,0,2,0,7,-7,0